Crypto Name,Price,TimeStamp
BTC,"112,318.57",8/21/2025 21:09
BTC,"112,318.57",8/21/2025 21:09
BTC,"112,318.57",8/21/2025 21:09
BTC,"112,318.57",8/21/2025 21:10
BTC,"112,318.57",8/21/2025 21:10
BTC,"112,318.57",8/21/2025 21:10
BTC,"112,332.70",8/21/2025 21:10
BTC,"112,332.70",8/21/2025 21:11
BTC,"112,332.70",8/21/2025 21:11
BTC,"112,332.70",8/21/2025 21:11
BTC,"112,332.70",8/21/2025 21:11
BTC,"112,332.70",8/21/2025 21:12
BTC,"112,332.70",8/21/2025 21:12
BTC,"112,332.70",8/21/2025 21:12
BTC,"112,332.70",8/21/2025 21:12
BTC,"112,332.70",8/21/2025 21:13
BTC,"112,381.31",8/21/2025 21:13
BTC,"112,338.70",8/21/2025 21:48
